,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran,object_latitude,object_longitude,udaljenost_od_centra
127,283000.0,69.0,3.0,1,Namješten,Renoviran,Centralno (gradsko),"Ilidža, Sarajevo",0.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,True,False,True,True,43.81206065000001,18.29868815605407,14921.3
128,99999.0,37.0,1.0,1,Namješten,,Centralno (Plin),,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
129,395900.0,88.0,4.0,2,Namješten,Novogradnja,Plin,,0.0,2015,Parket,True,True,True,True,False,False,True,True,True,True,False,True,False,False,0.0,0.0,0.0
130,148000.0,30.0,0.0,1,Namješten,Novogradnja,Centralno (Kotlovnica),,0.0,2020,,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
131,191000.0,60.0,2.0,5,Namješten,,Centralno (Plin),,2.0,2000-2009,Parket,True,True,True,False,True,False,True,True,True,True,True,False,False,False,0.0,0.0,0.0
132,299000.0,57.0,4.0,12,Namješten,Renoviran,Centralno (gradsko),,0.0,1980-1989,Laminat,True,True,True,True,True,False,True,True,False,False,False,False,False,True,0.0,0.0,0.0
133,185000.0,89.0,3.0,1,Namješten,Renoviran,Centralno (Plin),Bosanskih gazija,0.0,1980-1989,Parket,True,True,True,False,False,False,True,True,True,False,False,False,False,True,43.8326622,18.3044433,11394.5
134,189000.0,62.0,2.0,2,Namješten,,Centralno (Plin),,0.0,1970-1979,Laminat,False,True,True,True,False,False,True,True,True,True,False,True,False,False,0.0,0.0,0.0
135,199000.0,77.0,3.0,7,Namješten,,Centralno (gradsko),Ive Andrića,2.0,,,False,True,True,False,True,False,True,True,False,False,False,False,False,False,43.845031,18.3477151,7525.5
136,147000.0,42.0,1.0,5,Namješten,Renoviran,Centralno (Plin),Koševo,0.0,1950-1959,Parket,True,False,True,False,False,False,True,True,True,False,False,False,False,True,43.8715709,18.4134142,2752.5
137,255000.0,94.0,3.0,2,Namješten,,Centralno (Plin),Emira Bogunića-Čarlija,0.0,,,True,True,True,True,False,False,True,True,True,True,False,True,False,False,43.8319457,18.3051612,11407.0
138,279000.0,81.0,3.0,1,Namješten,,Centralno (Plin),Emerika Bluma,0.0,1980-1989,,False,True,True,False,False,False,False,True,False,False,False,False,False,False,43.8527188,18.4053062,2989.3
139,189000.0,61.0,2.0,3,Namješten,Dobro stanje,Centralno (Plin),Maguda,0.0,,Parket,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43.8577635,18.4350113,580.7
140,222000.0,74.0,3.0,6,Namješten,Novogradnja,Centralno (gradsko),,5.0,2010,Parket,True,True,True,True,True,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0
141,230000.0,37.95,2.0,1,Namješten,Novogradnja,Struja,Babin do,0.0,2015,Parket,True,False,True,True,True,False,True,True,False,True,False,True,False,False,43.7158667,18.2853025,29241.2
142,256200.0,61.0,2.0,2,Namješten,Dobro stanje,Struja,Alekse Šantića,0.0,Prije 1950,Parket,False,True,True,True,False,False,False,True,True,False,False,False,False,False,43.8619476,18.4134746,2802.9
143,176000.0,42.0,1.5,Prizemlje,Namješten,Renoviran,Plin,,0.0,,Laminat,False,True,True,False,False,False,True,True,True,False,False,True,False,True,0.0,0.0,0.0
144,420000.0,64.0,3.0,3,Namješten,,Centralno (Kotlovnica),Džemala Bijedića,5.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,False,False,False,False,43.8491952,18.3513892,7284.3
145,208000.0,48.0,2.0,6,Namješten,,Centralno (Kotlovnica),,2.0,,Parket,True,True,True,True,True,False,True,True,False,False,True,False,False,False,0.0,0.0,0.0
146,370000.0,69.0,2.0,2,Namješten,,Struja,Logavina,0.0,,Parket,True,True,True,False,False,True,True,True,False,False,False,False,False,False,43.8629141,18.4279709,731.2
147,440000.0,84.0,4.0,Prizemlje,Namješten,,Centralno (gradsko),Hakije Kulenovića,0.0,1980-1989,Parket,True,True,True,False,True,False,True,True,False,False,True,True,True,False,43.8636383,18.4077222,3791.1
148,235000.0,52.0,2.0,3,Namješten,,Centralno (Plin),Antuna Branka Šimića,16.0,,Parket,True,False,True,True,False,False,False,True,True,False,False,False,True,False,43.8478108,18.3767114,5461.8
149,206000.0,56.0,2.0,4,Namješten,,Ostalo,Blažujski drum,5.0,2020,Parket,True,False,True,True,True,True,True,True,False,False,False,False,False,False,43.8302315,18.298879,11864.1
150,259000.0,77.0,3.0,6,Namješten,,Centralno (Plin),Stupska,3.0,,Parket,True,False,True,True,True,False,True,True,True,True,True,False,False,False,43.8392299,18.3246122,9733.5
151,166000.0,42.0,1.0,Visoko prizemlje,Namješten,,Centralno (Plin),Pijačna,0.0,,Parket,True,True,True,True,True,False,True,True,True,False,False,False,False,False,43.8393648,18.3122385,10594.8
152,119500.0,27.0,0.0,3,Namješten,,Centralno (Kotlovnica),Latička,2.0,,Parket,True,True,True,True,True,False,True,True,False,False,True,False,False,False,43.8420935,18.3304715,9132.0
153,370000.0,74.0,3.0,2,Namješten,Dobro stanje,Plin,,0.0,,Laminat,True,True,True,True,False,False,True,True,False,False,False,True,False,False,0.0,0.0,0.0
154,348000.0,84.0,3.0,4,Namješten,,Centralno (gradsko),Ismeta Mujezinovica,2.0,,Parket,True,True,True,False,False,False,True,True,False,False,False,False,False,False,43.87164,18.4167927,2611.8
155,349000.0,58.0,3.0,2,Namješten,Renoviran,Centralno (gradsko),,6.0,1980-1989,Laminat,True,True,True,True,False,False,True,True,False,True,False,False,False,False,0.0,0.0,0.0
156,348000.0,91.0,3.0,2,Namješten,Dobro stanje,Centralno (Plin),Midhata Karica Mitketa,7.0,2010,Parket,True,True,True,True,False,False,True,True,True,True,False,False,False,False,43.8808323,18.4145165,3499.3
157,439000.0,78.0,3.0,3,Namješten,,Centralno (gradsko),,5.0,1980-1989,Parket,True,True,True,True,True,False,True,True,False,False,False,True,False,False,0.0,0.0,0.0
158,265000.0,55.0,2.0,1,Namješten,Renoviran,Plin,,0.0,,,True,True,True,True,False,False,True,False,True,False,False,False,False,True,0.0,0.0,0.0
159,210000.0,68.0,3.0,Prizemlje,Namješten,Renoviran,Ostalo,Zagrebačka,0.0,1980-1989,Laminat,True,True,True,True,False,False,True,False,False,False,False,False,False,False,43.8521013,18.4034709,2951.3
160,259000.0,65.0,3.0,5,Namješten,,Struja,Fra Anđela Zvizdovića,0.0,,Laminat,False,True,True,False,False,False,True,True,True,True,False,False,False,False,43.8559494,18.4065909,2522.5
161,295000.0,68.0,3.0,1,Namješten,,Centralno (Plin),Jaroslava Cernija,0.0,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,43.8599746,18.4270313,1121.2
162,295000.0,61.0,3.0,5,Namješten,Parcijalno renoviran,Struja,Vilsonovo setaliste 12,0.0,1970-1979,,True,False,False,True,True,False,False,False,False,False,False,True,False,False,43.85301465,18.391832620371012,3892.5
163,153000.0,51.0,2.0,2,Namješten,,Struja,,4.0,1970-1979,Parket,False,True,True,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0
164,282000.0,87.0,4.0,3,Namješten,Renoviran,Centralno (Plin),Muvekita,0.0,1980-1989,Laminat,True,False,True,True,False,False,True,True,True,False,False,False,False,True,43.859135,18.4263837,1464.5
165,179998.0,82.0,3.0,5,Namješten,Renoviran,Struja,Braće Kršo,4.0,,Parket,True,True,True,False,False,False,True,True,False,True,True,True,False,True,43.9000522,18.3393314,11105.3
166,210000.0,51.0,1.0,6,Namješten,,Centralno (Kotlovnica),,0.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,False,True,False,False,0.0,0.0,0.0
167,132000.0,42.0,1.5,14,Namješten,,Centralno (gradsko),,3.0,,Laminat,True,True,True,False,True,False,True,True,False,True,True,False,False,False,0.0,0.0,0.0
168,400000.0,100.0,3.0,2,Namješten,Renoviran,Plin,Muvekita,0.0,1980-1989,Parket,False,True,True,False,False,False,True,True,True,False,False,True,False,True,43.859135,18.4263837,1464.5
169,237000.0,56.0,3.0,1,Namješten,Renoviran,Plin,,5.0,1980-1989,Laminat,True,True,True,False,False,False,True,True,True,True,False,False,False,True,0.0,0.0,0.0
170,268000.0,106.0,3.0,5,Namješten,,Plin,Behdžeta Mutevelića,0.0,2000-2009,Parket,True,True,True,True,False,False,True,True,True,False,False,True,False,False,43.8492043,18.3910013,4392.9
171,220000.0,64.0,3.0,1,Namješten,Dobro stanje,Plin,,0.0,2010,Parket,True,True,True,True,True,False,True,True,True,False,True,False,False,False,0.0,0.0,0.0
172,118000.0,27.0,0.0,3,Namješten,Renoviran,Centralno (Kotlovnica),Laticka,2.0,2010,Parket,True,True,True,True,True,True,False,True,False,False,False,False,False,True,43.8420935,18.3304715,9132.0
173,159000.0,60.0,2.0,4,Namješten,Renoviran,Plin,Trg Oteškog bataljona 39,5.0,,,True,True,True,True,False,False,True,True,True,True,False,True,False,True,43.8415279,18.2976799,12812.3
174,185000.0,47.0,1.5,3,Namješten,,Plin,Oslobodilaca Sarajeva 16,5.0,,Parket,False,True,True,False,False,False,False,True,True,True,False,True,False,False,43.8245298,18.347206020434683,9773.3
175,183000.0,89.0,3.0,Visoko prizemlje,Namješten,,Plin,Omladinska 2,0.0,,,True,True,True,False,False,False,True,True,True,True,False,True,False,False,43.8981862,18.3496682,10279.6
176,240000.0,141.0,5.0,5,Namješten,Renoviran,Plin,,25.0,2000-2009,Parket,True,True,True,False,False,False,True,True,True,True,False,False,False,True,0.0,0.0,0.0
177,199000.0,58.0,2.0,1,Namješten,,Centralno (Plin),Nikole Šopa,4.0,2020,,True,True,True,True,True,False,False,True,False,False,False,False,False,False,43.8470669,18.3190874,10563.1
178,220000.0,56.0,3.0,1,Namješten,Dobro stanje,Centralno (Kotlovnica),,2.0,2010,Parket,True,True,False,False,True,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
179,175000.0,50.0,4.0,Prizemlje,Namješten,Parcijalno renoviran,Struja,,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
180,295000.0,71.0,3.0,Prizemlje,Namješten,Renoviran,Struja,Kovačeva,0.0,,Parket,True,True,True,True,False,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0
181,220000.0,96.0,3.0,3,Namješten,Renoviran,Plin,Hifzi Bjelevca 164,0.0,,Parket,True,True,True,False,False,False,False,True,False,True,False,False,False,True,43.8453794,18.3234981,10072.2
182,370000.0,55.0,2.0,Prizemlje,Namješten,Renoviran,Plin,Kranjčevićeva,0.0,,Parket,True,True,True,False,False,False,True,True,True,False,False,False,True,True,43.8583702,18.4046669,2932.4
183,299000.0,71.0,2.0,1,Namješten,Renoviran,Plin,Midhata Karića Mitketa,4.0,2010,Parket,True,True,True,True,True,False,True,True,True,False,True,False,True,True,43.8808323,18.4145165,3499.3
184,190000.0,52.0,2.0,5,Namješten,Renoviran,Struja,Radnička,5.0,2000-2009,Parket,False,True,True,True,False,False,True,True,False,False,False,False,False,True,43.847581,18.4006615,3751.6
185,320000.0,80.0,4.0,6,Namješten,Renoviran,Centralno (gradsko),Adija Mulabegovića,5.0,1980-1989,Parket,True,True,True,False,True,False,True,True,False,False,False,True,False,True,43.8413822,18.341706,8400.0
186,474500.0,73.0,3.0,4,Namješten,,Plin,Muamera Omerbegovića,5.0,2020,Parket,True,True,True,True,True,True,True,True,True,False,True,False,True,False,43.8524235,18.4110665,2757.1
187,94000.0,42.0,2.0,Prizemlje,Namješten,Renoviran,Struja,Derviša Numića,0.0,,Laminat,True,True,True,False,False,False,True,True,False,False,True,True,False,True,43.8479369,18.3965961,3729.4
188,199000.0,56.0,2.0,3,Namješten,,Plin,Nikole Šopa,5.0,2020,Parket,True,True,True,False,True,True,True,True,True,False,False,False,False,False,43.8470669,18.3190874,10563.1
189,260000.0,87.0,3.0,1,Namješten,Renoviran,Centralno (Plin),Tina Ujevića,8.0,1970-1979,Parket,True,True,True,True,False,False,True,True,True,True,False,True,False,True,43.8611837,18.4193992,1739.6
190,250000.0,75.0,3.0,2,Namješten,Renoviran,Plin,,0.0,1980-1989,Parket,True,True,True,False,False,False,True,True,True,False,False,True,False,True,0.0,0.0,0.0
191,350000.0,74.0,3.0,10,Namješten,,Centralno (Kotlovnica),Dzemala Bijedica,5.0,,Parket,True,True,True,True,True,True,True,False,False,False,False,False,False,False,43.8491952,18.3513892,7284.3
192,318000.0,59.0,3.0,3,Namješten,Renoviran,Plin,Skenderija,0.0,,Parket,True,True,True,True,False,False,True,True,True,False,False,True,False,True,43.8555044,18.4134127,2049.3
193,110000.0,38.0,2.0,Prizemlje,Namješten,,Plin,Budakovići,0.0,,Laminat,True,True,True,False,False,False,True,True,False,False,False,False,False,False,43.8690473,18.425684,1347.1
194,105000.0,29.0,0.0,1,Namješten,,Centralno (gradsko),Prvomajska,0.0,1970-1979,Laminat,False,True,True,False,False,False,False,True,False,False,False,False,False,False,43.8434418,18.3559133,7030.6
195,188000.0,58.0,2.0,2,Namješten,Renoviran,Struja,Avde Smajlovića,4.0,,Parket,False,False,False,False,False,False,True,True,False,False,False,False,False,True,43.8475615,18.3976285,3772.1
196,295000.0,87.0,3.0,1,Namješten,Renoviran,Centralno (Plin),Cekalusa,4.0,,,False,False,False,False,False,False,False,True,True,True,False,False,False,True,43.8616145,18.4182344,2988.1
197,235000.0,51.4,2.0,7,Namješten,Novogradnja,Centralno (Kotlovnica),Džemala Bijedića,3.0,2020,Parket,True,True,True,True,True,True,True,True,False,False,False,False,False,False,43.8491952,18.3513892,7284.3
